buurtcode,buurtnaam,n_bomen,oppervlakteLandInHa,bomen_per_ha,percentageBouwjaarklasseTot2000
BU05990118,Nieuwe Werk,2615,69,37.89855072463768,56
BU05990327,Oud Mathenesse,2255,84,26.845238095238095,98
BU05990837,Oud Crooswijk,1297,49,26.46938775510204,94
BU05990515,Agniesebuurt,926,37,25.027027027027028,99
BU05990322,Tussendijken,917,37,24.783783783783782,90
BU05990841,Kralingen West,2503,102,24.53921568627451,92
BU05990814,Rubroek,1255,52,24.134615384615383,91
BU05990531,Bergpolder,1037,44,23.568181818181817,99
BU05990324,Nieuwe Westen,2896,124,23.35483870967742,91
BU05991466,Zevenkamp,4904,210,23.35238095238095,98
BU05990535,Oude Noorden,2351,101,23.277227722772277,94
BU05990836,Nieuw Crooswijk,2934,127,23.10236220472441,63
BU05991467,Oosterflank,3575,161,22.204968944099377,95
BU05990112,Cool,1345,61,22.049180327868854,86
BU05990321,Bospolder,1038,49,21.183673469387756,86
BU05991463,Ommoord,9202,435,21.154022988505748,95
BU05990457,Landzicht,144,7,20.571428571428573,100
BU05990516,Provenierswijk,615,30,20.5,95
BU05990325,Middelland,1387,68,20.397058823529413,97
BU05990456,Overschie,3016,148,20.37837837837838,95
BU05990110,Stadsdriehoek,2713,136,19.948529411764707,65
BU05990534,Liskwartier,1097,55,19.945454545454545,94
BU05991448,Prinsenland,3383,172,19.66860465116279,94
BU05990662,Hillegersberg Noord,3556,183,19.43169398907104,70
BU05990323,Spangen,1162,60,19.366666666666667,86
BU05990320,Delfshaven,822,43,19.11627906976744,95
BU05991468,Nesselande,5223,287,18.198606271777003,2
BU05990111,Oude Westen,1035,57,18.157894736842106,98
BU05990119,Dijkzigt,890,50,17.8,47
BU05990847,Struisenburg,676,39,17.333333333333332,94
BU05990329,Schiemond,801,47,17.04255319148936,58
BU05990532,Blijdorp,2765,163,16.96319018404908,100
BU05990451,Kleinpolder,2036,125,16.288,86
BU05990842,Kralingen Oost,3183,202,15.757425742574258,86
BU05991449,Het Lage Land,3262,214,15.242990654205608,89
BU05990843,Kralingse Bos,4403,301,14.627906976744185,100
BU05991444,'s-Gravenland,2891,208,13.899038461538462,93
BU05990455,Zestienhoven,7729,557,13.876122082585278,20
BU05990665,Molenlaankwartier,2738,200,13.69,95
BU05990845,De Esch,2280,169,13.49112426035503,98
BU05990660,Schiebroek,6227,482,12.91908713692946,91
BU05990113,Cs Kwartier,474,41,11.560975609756097,100
BU05990661,Hillegersberg Zuid,1111,119,9.336134453781513,94
BU05991853,Spaanse Polder,1452,184,7.891304347826087,100
BU05990664,Terbregge,1376,177,7.7740112994350286,32
BU05990328,Witte Dorp,26,4,6.5,100
BU05990454,Schieveen,2394,570,4.2,85
BU05991926,Nieuw Mathenesse,184,123,1.4959349593495934,100
BU05990452,Noord Kethel,72,235,0.30638297872340425,85
