buurtcode,buurtnaam,aantalInwoners,n_afvalbak,afvalbak_per_1000,percentagePersonenMetLaagInkomen
BU05990119,Dijkzigt,1190,124,104.2016806722689,32
BU05990113,Cs Kwartier,1075,80,74.4186046511628,24
BU05990118,Nieuwe Werk,3140,133,42.35668789808917,32
BU05990112,Cool,6660,241,36.186186186186184,34
BU05990515,Agniesebuurt,4055,122,30.08631319358816,49
BU05990110,Stadsdriehoek,19400,463,23.8659793814433,33
BU05990329,Schiemond,5715,135,23.62204724409449,41
BU05990322,Tussendijken,7365,152,20.63815342837746,56
BU05991467,Oosterflank,10550,202,19.14691943127962,46
BU05990845,De Esch,4590,84,18.300653594771244,43
BU05990662,Hillegersberg Noord,7855,143,18.20496499045194,39
BU05990454,Schieveen,335,6,17.910447761194032,37
BU05990451,Kleinpolder,8060,131,16.253101736972702,47
BU05991926,Nieuw Mathenesse,1240,20,16.129032258064516,20
BU05990111,Oude Westen,9725,155,15.938303341902312,51
BU05990532,Blijdorp,10490,159,15.157292659675882,26
BU05990328,Witte Dorp,595,9,15.126050420168067,55
BU05990837,Oud Crooswijk,8060,115,14.267990074441686,57
BU05990321,Bospolder,7310,99,13.543091655266757,54
BU05990516,Provenierswijk,4775,64,13.403141361256544,41
BU05990320,Delfshaven,7380,98,13.279132791327914,48
BU05990323,Spangen,9965,131,13.146011038635223,51
BU05990535,Oude Noorden,17495,228,13.032294941411832,48
BU05990847,Struisenburg,5880,76,12.92517006802721,46
BU05991448,Prinsenland,9745,125,12.827090815802977,42
BU05990455,Zestienhoven,4250,52,12.23529411764706,20
BU05990660,Schiebroek,16930,207,12.226816302421737,44
BU05990325,Middelland,11960,146,12.207357859531772,42
BU05990324,Nieuwe Westen,19525,238,12.189500640204866,50
BU05990842,Kralingen Oost,8510,95,11.163337250293772,41
BU05990327,Oud Mathenesse,7175,80,11.149825783972126,44
BU05990814,Rubroek,8420,92,10.926365795724466,49
BU05990836,Nieuw Crooswijk,3720,40,10.752688172043012,40
BU05990841,Kralingen West,15830,170,10.739102969046115,48
BU05991468,Nesselande,13155,138,10.4903078677309,31
BU05991449,Het Lage Land,11265,116,10.297381269418553,43
BU05990456,Overschie,6660,67,10.06006006006006,36
BU05991444,'s-Gravenland,8165,75,9.185548071034905,32
BU05990661,Hillegersberg Zuid,8260,75,9.079903147699758,30
BU05991463,Ommoord,26020,230,8.839354342813222,44
BU05990534,Liskwartier,7660,63,8.224543080939949,39
BU05990457,Landzicht,375,3,8.0,52
BU05991466,Zevenkamp,15965,123,7.704353272784215,44
BU05990665,Molenlaankwartier,8265,62,7.50151240169389,31
BU05990664,Terbregge,3385,22,6.499261447562777,32
BU05990531,Bergpolder,8285,24,2.896801448400724,34
